Rank,Player,Signed Age,Yrs,Value,AAV,Sign Bonus,G'teed @ Sign,Practical G'teed,Position
1,Patrick Mahomes |2020-2031 (FA: 2032),24,10,450000000,45000000,"$10,000,000 ",63081905,141481905,QB
2,Deshaun Watson |2020-2025 (FA: 2026),24,4,156000000,39000000,"$27,000,000 ",73717123,110717123,QB
3,Matt Ryan |2018-2023 (FA: 2024),32,5,150000000,30000000,"$46,500,000 ",94500000,100000000,QB
4,Khalil Mack |2018-2024 (FA: 2025),27,6,141000000,23500000,"$34,000,000 ",60000000,90000000,LB
5,Russell Wilson |2019-2023 (FA: 2024),30,4,140000000,35000000,"$65,000,000 ",70000000,107000000,QB
6,Jimmy Garoppolo |2018-2022 (FA: 2023),26,5,137500000,27500000,"$7,000,000 ",41700000,74100000,QB
7,Matthew Stafford |2017-2022 (FA: 2023),29,5,135000000,27000000,"$50,000,000 ",60500000,92000000,QB
7,Aaron Donald|2018-2024 (FA: 2025),27,6,135000000,22500000,"$40,000,000 ",50000000,86892000,DT
7,Joey Bosa|2020-2025 (FA: 2026),25,5,135000000,27000000,-,78000000,102000000,DE
10,Aaron Rodgers |2018-2023 (FA: 2024),34,4,134000000,33500000,"$57,500,000 ",79200000,98700000,QB
10,Jared Goff |2019-2024 (FA: 2025),24,4,134000000,33500000,"$25,000,000 ",57042682,110042682,QB
12,Carson Wentz |2019-2024 (FA: 2025),26,4,128000000,32000000,"$16,367,683 ",66470683,107970683,QB
13,Myles Garrett|2020-2026 (FA: 2027),24,5,125000000,25000000,"$21,000,000 ",43546125,100000000,DE
13,Derek Carr |2017-2022 (FA: 2023)Originally signed w/ OAK,26,5,125000000,25000000,"$12,500,000 ",40000000,70200000,QB
15,Ryan Tannehill |2020-2023 (FA: 2024),31,4,118000000,29500000,"$20,000,000 ",62000000,91000000,QB
16,Von Miller|2016-2021 (FA: 2022),27,6,114100000,19016667,"$17,000,000 ",42000000,70000000,LB
17,DeMarcus Lawrence|2019-2023 (FA: 2024),26,5,105000000,21000000,"$25,000,000 ",48000000,65000000,DE
18,Frank Clark |2019-2023 (FA: 2024),25,5,104000000,20800000,"$19,000,000 ",43805000,62305000,DE
19,Fletcher Cox|2016-2022 (FA: 2023),25,6,102600000,17100000,"$26,000,000 ",36299000,63299000,DT
20,J.J. Watt |2014-2021 (FA: 2022),25,6,100005425,16667571,"$10,000,000 ",30881810,51876000,DE
21,Amari Cooper |2020-2024 (FA: 2025),25,5,100000000,20000000,"$10,000,000 ",40000000,60000000,WR
21,Jalen Ramsey  |2020-2026 (FA: 2027),25,5,100000000,20000000,"$25,000,000 ",43700000,71200000,CB
23,Tyron Smith |2016-2023 (FA: 2024),23,8,97600000,12200000,"$10,000,000 ",22118013,22118013,LT
24,Marlon Humphrey |2020-2026 (FA: 2027),24,5,97500000,19500000,"$20,000,000 ",40324566,67324566,CB
25,Michael Thomas|2019-2024 (FA: 2025),25,5,96250000,19250000,"$20,000,000 ",35648043,60598043,WR
26,Alex Smith|2018-2022 (FA: 2023)Originally signed w/ WAS,33,4,94000000,23500000,"$27,000,000 ",55000000,71000000,QB
27,David Bakhtiari |2020-2024 (FA: 2025),29,4,92000000,23000000,"$30,000,000 ",61500000,61500000,LT
28,"Odell Beckham, Jr. |2018-2023 (FA: 2024)Originally signed w/ NYG",25,5,90000000,18000000,"$20,000,000 ",40959000,65000000,WR
28,Trey Flowers|2019-2023 (FA: 2024),25,5,90000000,18000000,"$28,070,000 ",40000000,56000000,DE
28,Ezekiel Elliott|2019-2026 (FA: 2027),24,6,90000000,15000000,"$7,500,000 ",28052137,50052137,RB
31,Dee Ford|2019-2023 (FA: 2024),27,5,85500000,17100000,"$8,000,000 ",19750000,33350000,LB
32,C.J. Mosley|2019-2024 (FA: 2025),26,5,85000000,17000000,"$7,500,000 ",43000000,51000000,LB
32,Arik Armstead |2020-2024 (FA: 2025),26,5,85000000,17000000,"$3,500,000 ",26650000,40000000,DE
34,Zack Martin|2018-2024 (FA: 2025),27,6,84000000,14000000,"$20,000,000 ",32000000,40000000,G
34,Landon Collins|2019-2024 (FA: 2025)Originally signed w/ WAS,24,6,84000000,14000000,"$15,000,000 ",26000000,44500000,FS
34,DeForest Buckner |2022-2024 (FA: 2025),25,4,84000000,21000000,-,39378000,44378000,DT
37,Chandler Jones |2017-2021 (FA: 2022),27,5,82500000,16500000,"$15,000,000 ",31000000,51000000,LB
37,Mike Evans |2018-2023 (FA: 2024),24,5,82500000,16500000,-,38258000,55008000,WR
37,Byron Jones|2020-2024 (FA: 2025),27,5,82500000,16500000,"$10,500,000 ",46000000,54375000,CB
40,Brandin Cooks |2018-2023 (FA: 2024)Originally signed w/ LAR,24,5,81000000,16200000,"$7,000,000 ",20459000,49459000,WR
41,Kawann Short|2017-2021 (FA: 2022),28,5,80500000,16100000,"$20,000,000 ",35000000,35000000,DT
42,Keenan Allen|2020-2024 (FA: 2025),28,4,80100000,20025000,"$13,500,000 ",26500000,43000000,WR
43,Chris Jones|2020-2023 (FA: 2024),26,4,80000000,20000000,-,37626000,60000000,DT
43,Taylor Lewan|2018-2023 (FA: 2024),27,5,80000000,16000000,"$11,000,000 ",34000000,50000000,LT
45,Jarvis Landry|2018-2022 (FA: 2023),25,5,75500000,15100000,"$7,500,000 ",34000000,47000000,WR
46,Xavien Howard |2019-2024 (FA: 2025),25,5,75250000,15050000,"$7,000,000 ",27185641,39260641,CB
47,Alvin Kamara|2020-2025 (FA: 2026),25,5,75000000,15000000,"$15,000,000 ",22833000,33833000,RB
47,George Kittle|2020-2025 (FA: 2026),26,5,75000000,15000000,"$18,000,000 ",23633000,40000000,TE
49,Jake Matthews|2018-2023 (FA: 2024),26,5,72500000,14500000,"$13,946,000 ",34946000,41350000,LT
50,Lane Johnson|2019-2025 (FA: 2026),29,4,72000000,18000000,"$3,000,000 ",20350000,54595000,RT
50,Danielle Hunter|2018-2023 (FA: 2024),23,5,72000000,14400000,"$15,000,000 ",16907000,40000000,DE
50,Stefon Diggs|2018-2023 (FA: 2024)Originally signed w/ MIN,24,5,72000000,14400000,"$15,000,000 ",16907000,40007000,WR
53,Kevin Byard|2019-2024 (FA: 2025),25,5,70500000,14100000,"$9,000,000 ",19625000,31000000,FS
54,Patrick Peterson|2016-2020 (FA: 2021),24,5,70050000,14010000,"$15,361,885 ",16249114,47368114,CB
55,Robert Quinn|2020-2024 (FA: 2025),29,5,70000000,14000000,"$3,000,000 ",30000000,30000000,LB
55,Kenny Clark |2020-2024 (FA: 2025),24,4,70000000,17500000,"$25,000,000 ",27690000,34090000,DT
57,Tre'Davious White|2020-2025 (FA: 2026),25,4,69000000,17250000,"$10,500,000 ",36700000,55250000,CB
58,Jaylon Smith|2019-2024 (FA: 2025),24,6,68421000,11403500,"$5,000,000 ",19006678,35406678,LB
59,Ben Roethlisberger|2019-2021 (FA: 2022),37,2,68000000,34000000,"$37,500,000 ",37500000,37500000,QB
59,Trent Williams|2015-2020 (FA: 2021)Originally signed w/ WAS,27,5,68000000,13600000,"$8,100,000 ",30000000,41250000,LT
59,Grady Jarrett|2019-2022 (FA: 2023),26,4,68000000,17000000,"$18,000,000 ",38000000,42500000,DT
59,Garett Bolles|2020-2024 (FA: 2025),28,4,68000000,17000000,"$20,000,000 ",21000000,38000000,LT
63,A.J. Bouye|2017-2021 (FA: 2022)Originally signed w/ JAC,25,5,67500000,13500000,"$10,000,000 ",26000000,26000000,CB
63,Anthony Barr|2019-2023 (FA: 2024),26,5,67500000,13500000,"$13,000,000 ",15900000,33000000,LB
65,Andrew Norwell|2018-2022 (FA: 2023),26,5,66500000,13300000,"$15,000,000 ",30000000,30000000,G
66,Julio Jones|2019-2023 (FA: 2024),30,3,66000000,22000000,"$25,000,000 ",64000000,64000000,WR
66,Kirk Cousins |2020-2022 (FA: 2023),31,2,66000000,33000000,"$30,000,000 ",31000000,66000000,QB
66,Za'Darius Smith|2019-2022 (FA: 2023),26,4,66000000,16500000,"$20,000,000 ",20000000,20000000,LB
66,Trenton Brown|2019-2022 (FA: 2023)Originally signed w/ OAK,25,4,66000000,16500000,-,36250000,36250000,RT
66,Laremy Tunsil|2020-2023 (FA: 2024),25,3,66000000,22000000,"$13,000,000 ",40000000,50000000,LT
71,Cameron Heyward|2020-2024 (FA: 2025),31,4,65600000,16400000,"$17,500,000 ",20250000,26250000,DT
72,Geno Atkins|2018-2022 (FA: 2023),30,4,65200000,16300000,"$13,000,000 ",17000000,25000000,DT
73,Stephon Gilmore|2017-2021 (FA: 2022),26,5,65000000,13000000,"$18,000,000 ",31000000,40000000,CB
73,T.Y. Hilton|2015-2020 (FA: 2021),25,5,65000000,13000000,"$10,000,000 ",11000000,28000000,WR
73,Terron Armstead|2016-2021 (FA: 2022),24,5,65000000,13000000,"$11,000,000 ",15880000,38000000,LT
73,Robert Woods|2020-2025 (FA: 2026),28,4,65000000,16250000,-,18500000,32000000,WR
77,Adam Thielen|2019-2024 (FA: 2025),28,4,64200000,16050000,"$9,000,000 ",14105000,33000000,WR
78,Christian McCaffrey|2020-2025 (FA: 2026),23,4,64063500,16015875,"$21,500,000 ",30062500,38162500,RB
79,Melvin Ingram|2017-2020 (FA: 2021),28,4,64000000,16000000,"$10,500,000 ",34000000,34000000,LB
80,Dalvin Cook |2020-2025 (FA: 2026),25,5,63000000,12600000,"$15,500,000 ",26125000,28125000,RB
80,Teddy Bridgewater|2020-2022 (FA: 2023),27,3,63000000,21000000,"$15,000,000 ",33000000,33000000,QB
82,Nate Solder|2018-2022 (FA: 2023),29,4,62000000,15500000,"$16,000,000 ",34800000,34800000,LT
83,Malcolm Butler|2018-2022 (FA: 2023),28,5,61250000,12250000,"$10,000,000 ",24000000,30000000,CB
84,Jurrell Casey|2017-2022 (FA: 2023)Originally signed w/ TEN,27,4,60400000,15100000,"$8,000,000 ",24000000,40000000,DT
85,Stephon Tuitt |2017-2022 (FA: 2023),24,5,60001439,12000288,"$13,000,000 ",13000000,13000000,DE
86,Taylor Decker|2020-2024 (FA: 2025),27,4,60000000,15000000,"$7,500,000 ",42100000,42100000,LT
87,Budda Baker|2020-2024 (FA: 2025),24,4,59000000,14750000,"$10,000,000 ",22100000,33100000,S
88,Riley Reiff |2017-2021 (FA: 2022),28,5,58750000,11750000,"$11,000,000 ",26300000,26300000,LT
89,Eddie Jackson|2020-2024 (FA: 2025),27,4,58400000,14600000,"$12,000,000 ",22000000,33000000,FS
90,Dion Dawkins|2020-2024 (FA: 2025),26,4,58300000,14575000,"$8,600,000 ",29500441,29500441,LT
91,Davante Adams|2017-2021 (FA: 2022),25,4,58000000,14500000,"$18,000,000 ",24000000,30000000,WR
91,Zach Cunningham|2020-2024 (FA: 2025),25,4,58000000,14500000,"$12,000,000 ",23500000,32500000,LB
93,Ryan Kerrigan|2015-2020 (FA: 2021)Originally signed w/ WAS,26,5,57500000,11500000,"$16,000,000 ",23788000,23788000,DE
93,Andrus Peat|2020-2024 (FA: 2025),26,5,57500000,11500000,"$13,000,000 ",23000000,33850000,G
95,Travis Kelce|2020-2025 (FA: 2026),30,4,57250000,14312500,-,20750000,20750000,TE
96,Myles Jack|2019-2023 (FA: 2024),23,4,57000000,14250000,"$12,000,000 ",26063787,33063787,LB
96,Deion Jones|2019-2023 (FA: 2024),24,4,57000000,14250000,"$11,000,000 ",18800000,34000000,LB
98,Brandon Brooks|2019-2024 (FA: 2025),30,4,56350000,14087500,"$3,911,177 ",4911177,30000000,G
99,Gabe Jackson|2017-2022 (FA: 2023)Originally signed w/ OAK,25,5,55000000,11000000,-,16500000,27500000,G
100,DeAndre Hopkins|2020-2024 (FA: 2025),28,2,54500000,27250000,"$27,500,000 ",42750000,60050000,WR
